Date,Date,Open,High,Low,Close,Volume,RSI,SMA,EMA,MACD,MACD Signal,LB,UB
2020-06-27,2020-06-27,9167.82421875,9207.810546875,8998.216796875,9045.390625,17273093144,40.96869682043156,9526.832779947918,9373.44539661377,-48.91914884834114,8.3463062750617,9864.225121794367,9032.964331330633
2020-06-28,2020-06-28,9048.4609375,9197.546875,8975.525390625,9143.58203125,14560870760,43.90137143422664,9516.981380208334,9358.615502074172,-60.82500899825391,-5.48795677960142,9825.31739201956,9009.08133844919
2020-06-29,2020-06-29,9140.029296875,9237.5732421875,9041.8759765625,9190.8544921875,16460547078,45.31003907154804,9499.996061197917,9347.792211113741,-65.68877708652508,-17.528120840986155,9767.083066006508,9006.831094149744
2020-06-30,2020-06-30,9185.5810546875,9217.8359375,9084.837890625,9137.9931640625,15735797744,43.98011396263894,9489.227213541666,9334.256788723338,-72.96768963190698,-28.61603459917032,9674.154792869864,9026.549211036385
2020-07-01,2020-07-01,9145.9853515625,9309.7548828125,9104.7353515625,9228.3251953125,15971550355,46.85100177157716,9457.9291015625,9327.422492374251,-70.6330267158155,-37.019433022499356,9673.666634646077,9017.691763791423
2020-07-02,2020-07-02,9231.1396484375,9274.962890625,9036.623046875,9123.41015625,16338916796,44.02877897466289,9444.382649739584,9314.260406172687,-76.3682309464748,-44.88919260729445,9663.25495862366,8992.36008043884
2020-07-03,2020-07-03,9124.8427734375,9202.3447265625,9058.794921875,9087.3037109375,13078970999,43.06727414537641,9425.402180989584,9299.61803873816,-82.87161758008006,-52.48567760185157,9652.26737795427,8964.550297826981
2020-07-04,2020-07-04,9084.2333984375,9183.2958984375,9053.6298828125,9132.48828125,12290528515,44.69495656203552,9403.13056640625,9288.835473738924,-83.41799047230597,-58.67214017594245,9645.769494928225,8945.618200384275
2020-07-05,2020-07-05,9126.0908203125,9162.18359375,8977.015625,9073.9423828125,12903406143,42.980334197704785,9383.410872395832,9274.971403356574,-87.56575611254084,-64.45086336326213,9632.049760466763,8921.661958283237
2020-07-06,2020-07-06,9072.849609375,9375.474609375,9058.6640625,9375.474609375,17889263252,52.98434967945629,9374.137369791666,9281.455481164214,-65.76367686144476,-64.71342606289866,9606.665954741306,8930.790783539944
2020-07-07,2020-07-07,9349.1611328125,9360.6171875,9201.8154296875,9252.27734375,13839652595,49.18723174343539,9357.251529947916,9279.573020685877,-57.760534228971665,-63.322847696113264,9581.03847913167,8933.62050524333
2020-07-08,2020-07-08,9253.0205078125,9450.3359375,9249.5,9428.3330078125,19702359883,54.23472943150808,9345.81298828125,9289.170439210175,-36.78769960049431,-58.015818076989476,9583.513101243467,8932.795101881535
2020-07-09,2020-07-09,9427.994140625,9431.37890625,9234.9990234375,9277.9677734375,18000702524,49.6943475383249,9328.555240885416,9288.447686579679,-31.931705985869485,-52.79899565876548,9582.855510351133,8932.447614648865
2020-07-10,2020-07-10,9273.357421875,9287.4716796875,9118.001953125,9278.8076171875,16860035605,49.71966666932239,9308.845670572917,9287.825746618893,-27.696262416167883,-47.77844901024596,9578.552973824146,8931.396830863356
2020-07-11,2020-07-11,9277.51171875,9293.5322265625,9199.4853515625,9240.3466796875,13249910444,48.515413489716465,9306.131184895834,9284.762581010416,-27.130376999266446,-43.64883460805005,9574.66063960085,8928.960844774148
2020-07-12,2020-07-12,9241.0546875,9319.4189453125,9197.4501953125,9276.5,14452361907,49.74755280515865,9299.3197265625,9284.22951126781,-23.49381584144612,-39.61783085472926,9500.522634344805,8965.877072686446
2020-07-13,2020-07-13,9277.205078125,9306.4052734375,9224.29296875,9243.6142578125,17519821266,48.60799993318029,9291.597623697917,9281.60917233521,-23.000286495245746,-36.29432198283256,9410.25706458481,9017.538247915189
2020-07-14,2020-07-14,9238.703125,9283.841796875,9171.6611328125,9243.2138671875,18085038362,48.59340503646192,9286.81181640625,9279.132055874066,-22.383446669928162,-33.51214692025168,9401.926322797512,9018.82934126499
2020-07-15,2020-07-15,9241.8974609375,9275.3251953125,9171.93359375,9192.8369140625,15844731575,46.69370811439259,9278.21630859375,9273.564627370095,-25.663759914537877,-31.94246951910892,9396.799810506309,9016.75819730619
2020-07-16,2020-07-16,9191.98046875,9214.3125,9088.947265625,9132.2275390625,15713967523,44.44258675979366,9264.68974609375,9264.446105543799,-32.77627730088898,-32.10923107546493,9397.143711230216,9013.345253613534
2020-07-17,2020-07-17,9131.8125,9182.25390625,9089.2021484375,9151.392578125,13944570749,45.33994365693926,9253.727669270833,9257.152329581295,-36.44640857807826,-32.9766665759876,9389.938850469593,9031.150309686658
2020-07-18,2020-07-18,9151.18359375,9230.9833984375,9100.82421875,9159.0400390625,12252601475,45.716718177979175,9245.3009765625,9250.822504386533,-38.29647000447403,-34.04062726168489,9389.681326887381,9032.953634050118
2020-07-19,2020-07-19,9158.005859375,9201.3984375,9097.6328125,9185.8173828125,12939002784,47.09192593723442,9241.894270833332,9246.628625575306,-37.173436919689266,-34.667189193285765,9389.558516182611,9032.572733817387
2020-07-20,2020-07-20,9187.220703125,9214.2705078125,9137.509765625,9164.2314453125,13755604146,46.078507670487916,9236.290625,9241.312678461576,-37.59189391115797,-35.2521301368602,9389.079544983664,9035.675533141335
2020-07-21,2020-07-21,9162.5146484375,9407.2626953125,9149.3896484375,9374.8876953125,18069581956,56.02437035901085,9238.665885416667,9249.930421484216,-20.686859999503213,-32.339076109388806,9410.073302755158,9029.338025369841
2020-07-22,2020-07-22,9375.080078125,9530.5185546875,9319.6533203125,9525.36328125,16532254884,61.48879059508251,9234.554069010417,9267.700283404589,4.797322826572781,-24.911796322196487,9466.640102026622,9012.966538598377
2020-07-23,2020-07-23,9527.1416015625,9610.2470703125,9483.00390625,9581.072265625,18146399002,63.3066618761915,9232.934537760417,9287.917830644616,29.152914132455408,-14.098854231266108,9524.604270078034,9004.379226015717
2020-07-24,2020-07-24,9585.5146484375,9623.3369140625,9481.4541015625,9536.892578125,16552768325,60.85340547606479,9240.377278645834,9303.980717578834,44.3783976156119,-2.4034038618905047,9562.881974143249,9006.541951638003
2020-07-25,2020-07-25,9539.4853515625,9704.556640625,9530.2119140625,9677.11328125,16610070933,65.43209104388522,9254.12060546875,9328.05378620278,66.98715560679557,11.474708031846712,9624.14611238849,9005.594903236512
2020-07-26,2020-07-26,9680.234375,10023.8076171875,9652.84765625,9905.1669921875,20507998997,71.30959800946111,9278.862239583334,9365.28689626631,102.12950241989711,29.605666909456794,9743.600171483935,8939.110082422316
2020-07-27,2020-07-27,9905.2177734375,11298.2216796875,9903.9697265625,10990.873046875,35359749590,84.67168441602185,9343.711653645832,9470.163422112033,215.1078411525832,66.70610175808207,10249.362757990639,8607.207066228111
2020-07-28,2020-07-28,11017.4638671875,11204.3271484375,10632.6318359375,10912.8232421875,28766551142,81.72497911119045,9402.686360677084,9563.238249213677,294.94606695209404,112.35409479688447,10547.929208732268,8457.089638923982
2020-07-29,2020-07-29,10912.953125,11304.3974609375,10856.1416015625,11100.4677734375,24617249715,83.23553557474543,9466.34013671875,9662.414347550697,369.104969237158,163.70426968493916,10842.753253657467,8344.515593998784
2020-07-30,2020-07-30,11099.8330078125,11169.3564453125,10895.455078125,11111.2138671875,22857247901,83.32056316308682,9532.11416015625,9755.88528430146,423.85758711876406,215.73493317170414,11087.933250503558,8282.576222152691
2020-07-31,2020-07-31,11110.2109375,11415.8642578125,10987.0537109375,11323.466796875,23160469766,84.94478346838058,9601.952213541666,9857.019575435235,478.85650905670445,268.3592483487042,11345.454518947852,8233.366965427147
2020-08-01,2020-08-01,11322.5703125,11794.775390625,11239.6826171875,11759.5927734375,26075670303,87.61376623453906,9689.824967447918,9979.766233370865,551.2804544711107,324.9434895731855,11669.50464499735,8157.626116721398
2020-08-02,2020-08-02,11758.7646484375,12034.14453125,11018.1298828125,11053.6142578125,27410067336,66.92948405960128,9755.36865234375,10049.046751076778,545.4230890397084,369.0394094664901,11798.706594655461,8209.424167063287
2020-08-03,2020-08-03,11043.7685546875,11453.0791015625,11012.4150390625,11246.3486328125,20271713443,69.07591694523879,9825.8306640625,10126.292033769405,549.9931592682133,405.23015942683475,11940.927356190983,8267.516882090265
2020-08-04,2020-08-04,11246.203125,11385.3818359375,11094.1455078125,11205.892578125,21250197042,68.07709882208127,9896.895670572916,10195.943681792347,544.0787066884877,432.9998688791653,12051.377856139023,8358.371948548478
2020-08-05,2020-08-05,11203.8232421875,11786.6171875,11158.28515625,11747.0224609375,24411254471,73.58003699762831,9975.947265625,10296.013280446872,576.4116053567814,461.6822161746885,12229.481322426069,8441.747974448932
2020-08-06,2020-08-06,11749.87109375,11902.3359375,11598.7138671875,11779.7734375,23400740340,73.87358526190712,10060.197135416667,10391.739742192236,597.7874687644835,488.9032666926475,12378.653334187618,8555.414048624882
2020-08-07,2020-08-07,11778.89453125,11898.0380859375,11408.59375,11601.47265625,23132312867,69.35562236367736,10132.635123697917,10469.787026970156,593.4991231435724,509.82243798283247,12462.61622707505,8715.694417456201
2020-08-08,2020-08-08,11604.5537109375,11800.064453125,11558.431640625,11754.0458984375,17572057837,70.9905651654825,10215.171061197916,10552.642438032566,595.5468702744147,526.9673244411489,12540.043173461978,8895.090322631771
2020-08-09,2020-08-09,11737.3251953125,11806.056640625,11548.7841796875,11675.7392578125,17489608833,68.95710495261696,10295.068782552084,10625.100297373207,584.1176880589846,538.397397164716,12563.43060443022,9122.853672913532
2020-08-10,2020-08-10,11662.2568359375,12045.140625,11662.2568359375,11878.111328125,26114112569,71.24914633685918,10382.994270833333,10705.939718712032,584.6502296751405,547.6479636668009,12605.31558123088,9331.29105939412
2020-08-11,2020-08-11,11881.6474609375,11932.7109375,11195.708984375,11410.525390625,27039782640,60.19089214173267,10454.128450520833,10751.39685883545,541.1044797484792,546.3392668831366,12568.206689858798,9556.916161703703
2020-08-12,2020-08-12,11404.5966796875,11748.396484375,11249.60546875,11584.9345703125,25064548486,62.527126881114256,10532.1724609375,10805.173485382356,514.7339893850149,540.0182113835123,12520.114380546418,9805.394701484833
2020-08-13,2020-08-13,11588.4052734375,11796.396484375,11216.8720703125,11784.1376953125,27522199497,65.04998534068079,10616.869921875,10868.332466668173,504.0982819562614,532.8342254980621,12432.900286227727,10117.333307522273
2020-08-14,2020-08-14,11772.6591796875,12150.994140625,11685.455078125,11768.87109375,24237958589,64.69052788508014,10702.737727864584,10926.431732931516,488.8029044221239,524.0279612828745,12293.347787787407,10466.061587212593
